match_id,timestamp,scraped_at,player_name,player_id,position,player_class,result,score,opponent_score,opponent_club_id,toi_seconds,toi_minutes,rating_offense,rating_defense,rating_teamplay,goals,assists,points,gwg,ppg,shg,plus_minus,shots,shot_attempts,shot_pct,shot_on_net_pct,deflections,passes,pass_attempts,pass_pct,saucer_passes,possession_seconds,possession_minutes,faceoff_wins,faceoff_losses,faceoff_pct,hits,blocked_shots,interceptions,takeaways,giveaways,pk_clear_zone,pim,penalties_drawn,goalie_saves,goalie_shots_against,goalie_goals_against,goalie_save_pct,goalie_gaa,goalie_shutout_periods
2136046850090,1759982577,2025-10-09T00:03:56.821289,MrBazzzz,444935924,rightWing,1,2,2,3,59159,3600,60.0,60.00,65.00,55.00,0,0,0,0,0,0,-1,2,4,0.00,50.00,0,14,16,87.50,0,196,3.27,0,0,0.00,1,1,0,2,4,0,0,0,0,0,0,0.00,0.00,0
2136046850090,1759982577,2025-10-09T00:03:56.821334,Mcapp_1,935927261,defenseMen,15,2,2,3,59159,3481,58.02,85.00,65.00,75.00,0,2,2,0,0,0,-1,1,4,0.00,25.00,0,26,32,81.25,0,240,4.0,0,0,0.00,6,1,1,3,3,0,2,0,0,0,0,0.00,0.00,0
2136046850090,1759982577,2025-10-09T00:03:56.821353,Slick__AV,1733233666,defenseMen,14,2,2,3,59159,3600,60.0,65.00,40.00,65.00,0,0,0,0,0,0,-1,1,4,0.00,25.00,0,18,22,81.82,0,205,3.42,0,0,0.00,1,6,0,0,4,0,0,0,0,0,0,0.00,0.00,0
2136046850090,1759982577,2025-10-09T00:03:56.821368,TwoInchTommy565,1739474388,leftWing,2,2,2,3,59159,3600,60.0,75.00,55.00,60.00,1,0,1,0,0,0,-1,8,8,12.50,100.00,1,10,16,62.50,0,201,3.35,0,0,0.00,2,1,1,1,14,0,0,0,0,0,0,0.00,0.00,0
2136046850090,1759982577,2025-10-09T00:03:56.821384,NYKings06,1005991647805,center,2,2,2,3,59159,3600,60.0,80.00,65.00,85.00,1,1,2,0,0,0,-1,3,3,33.33,100.00,0,19,31,61.29,0,281,4.68,14,8,63.64,2,1,0,1,5,0,0,0,0,0,0,0.00,0.00,0
2132166710082,1759980974,2025-10-09T00:03:56.821566,MrBazzzz,444935924,rightWing,1,10,0,5,3893,1457,24.28,50.00,45.00,55.00,0,0,0,0,0,0,-4,0,1,0.00,0.00,0,1,3,33.33,0,66,1.1,0,0,0.00,0,0,1,0,3,0,0,0,0,0,0,0.00,0.00,0
2132166710082,1759980974,2025-10-09T00:03:56.821592,Mcapp_1,935927261,defenseMen,4,10,0,5,3893,1398,23.3,50.00,55.00,35.00,0,0,0,0,0,0,-4,0,0,0.00,0.00,0,4,5,80.00,0,63,1.05,0,0,0.00,1,0,0,1,3,0,2,0,0,0,0,0.00,0.00,0
2132166710082,1759980974,2025-10-09T00:03:56.821609,Slick__AV,1733233666,defenseMen,14,2,0,5,3893,1457,24.28,55.00,45.00,60.00,0,0,0,0,0,0,-4,0,0,0.00,0.00,0,7,8,87.50,0,72,1.2,0,0,0.00,3,0,0,1,2,0,0,0,0,0,0,0.00,0.00,0
2132166710082,1759980974,2025-10-09T00:03:56.821624,TwoInchTommy565,1739474388,leftWing,2,10,0,5,3893,1457,24.28,50.00,50.00,55.00,0,0,0,0,0,0,-4,0,0,0.00,0.00,0,1,3,33.33,0,41,0.68,0,0,0.00,0,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0
2132166710082,1759980974,2025-10-09T00:03:56.821638,NYKings06,1005991647805,center,2,10,0,5,3893,1457,24.28,55.00,45.00,60.00,0,0,0,0,0,0,-4,2,3,0.00,66.67,0,3,6,50.00,0,62,1.03,6,7,46.15,1,0,0,1,0,0,0,0,0,0,0,0.00,0.00,0
2124907180024,1759980046,2025-10-09T00:03:56.821802,MrBazzzz,444935924,rightWing,1,2,3,6,5204,3600,60.0,55.00,60.00,50.00,0,0,0,0,0,0,-5,4,7,0.00,57.14,0,13,17,76.47,0,205,3.42,0,0,0.00,0,0,0,4,12,0,0,0,0,0,0,0.00,0.00,0
2124907180024,1759980046,2025-10-09T00:03:56.821821,Mcapp_1,935927261,defenseMen,15,2,3,6,5204,3600,60.0,85.00,30.00,65.00,1,0,1,0,0,0,-5,2,3,50.00,66.67,0,23,31,74.19,0,262,4.37,0,0,0.00,1,2,1,1,10,0,0,0,0,0,0,0.00,0.00,0
2124907180024,1759980046,2025-10-09T00:03:56.821836,Slick__AV,1733233666,defenseMen,14,2,3,6,5204,3600,60.0,75.00,10.00,70.00,0,1,1,0,0,0,-5,0,1,0.00,0.00,0,21,29,72.41,0,248,4.13,0,0,0.00,1,0,0,2,5,0,0,1,0,0,0,0.00,0.00,0
2124907180024,1759980046,2025-10-09T00:03:56.821848,TwoInchTommy565,1739474388,leftWing,2,2,3,6,5204,3600,60.0,85.00,55.00,65.00,0,2,2,0,0,0,-5,8,11,0.00,72.73,0,16,20,80.00,0,204,3.4,0,0,0.00,1,0,1,1,7,0,0,0,0,0,0,0.00,0.00,0
2124907180024,1759980046,2025-10-09T00:03:56.821860,NYKings06,1005991647805,center,2,2,3,6,5204,3600,60.0,100.00,60.00,80.00,2,1,3,0,2,0,-5,7,8,28.57,87.50,0,11,11,100.00,0,206,3.43,17,19,47.22,0,1,1,1,2,0,0,3,0,0,0,0.00,0.00,0
2124574950033,1759977365,2025-10-09T00:03:56.821990,MrBazzzz,444935924,rightWing,1,5,3,2,25776,5115,85.25,70.00,75.00,50.00,0,1,1,0,0,0,1,0,2,0.00,0.00,0,21,26,80.77,0,237,3.95,0,0,0.00,0,2,0,0,6,0,2,0,0,0,0,0.00,0.00,0
2124574950033,1759977365,2025-10-09T00:03:56.822008,Mcapp_1,935927261,defenseMen,4,5,3,2,25776,5115,85.25,85.00,100.00,95.00,0,1,1,0,0,0,1,1,8,0.00,12.50,0,31,39,79.49,0,384,6.4,0,0,0.00,10,9,3,5,7,0,0,0,0,0,0,0.00,0.00,0
2124574950033,1759977365,2025-10-09T00:03:56.822022,TwoInchTommy565,1739474388,leftWing,2,5,3,2,25776,5115,85.25,90.00,70.00,75.00,1,1,2,0,0,0,1,6,11,16.67,54.55,0,9,15,60.00,0,246,4.1,0,0,0.00,3,2,1,2,8,0,0,0,0,0,0,0.00,0.00,0
2124574950033,1759977365,2025-10-09T00:03:56.822034,NYKings06,1005991647805,center,2,5,3,2,25776,5115,85.25,100.00,80.00,80.00,2,1,3,1,0,0,1,9,10,22.22,90.00,2,14,24,58.33,0,301,5.02,13,8,61.90,2,3,0,1,18,0,0,1,0,0,0,0.00,0.00,0
